month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,6617,46752.62,7.0653114
2025-01-01,Brooklyn,1,LCL/LTD,B41,Peak,3197,21064.635,6.587245
2025-01-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,1828,14000.042,7.657926
2025-01-01,Brooklyn,2,LCL/LTD,B41,Peak,725,5364.204,7.39114
2025-02-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,5792,39988.04,6.9032884
2025-02-01,Brooklyn,1,LCL/LTD,B41,Peak,2883,18626.79,6.458665
2025-02-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,1989,14660.367,7.367757
2025-02-01,Brooklyn,2,LCL/LTD,B41,Peak,743,5438.86,7.3148704
2025-03-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,6579,45599.355,6.930132
2025-03-01,Brooklyn,1,LCL/LTD,B41,Peak,3214,20849.363,6.4852104
2025-03-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,2268,16757.006,7.3860416
2025-03-01,Brooklyn,2,LCL/LTD,B41,Peak,860,6170.094,7.166348
2025-04-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,7021,48925.832,6.9680567
2025-04-01,Brooklyn,1,LCL/LTD,B41,Peak,3350,21969.205,6.5568504
2025-04-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,1435,10738.936,7.478823
2025-04-01,Brooklyn,2,LCL/LTD,B41,Peak,552,4080.312,7.387256
2025-05-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,6614,45000.008,6.803416
2025-05-01,Brooklyn,1,LCL/LTD,B41,Peak,3227,20405.85,6.322175
2025-05-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,2204,15872.041,7.199627
2025-05-01,Brooklyn,2,LCL/LTD,B41,Peak,844,6032.484,7.1446924
2025-06-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,6352,43356.23,6.825296
2025-06-01,Brooklyn,1,LCL/LTD,B41,Peak,3056,19898.438,6.510757
2025-06-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,1971,14409.016,7.3094773
2025-06-01,Brooklyn,2,LCL/LTD,B41,Peak,724,5264.401,7.266992
2025-07-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,6557,45485.805,6.93665
2025-07-01,Brooklyn,1,LCL/LTD,B41,Peak,3100,20792.23,6.706244
2025-07-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,2006,14805.006,7.3792286
2025-07-01,Brooklyn,2,LCL/LTD,B41,Peak,731,5329.264,7.2830243
2025-01-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,36,301.725,8.35257
2025-01-01,Brooklyn,1,SBS,B44+,Off-Peak,2862,25177.377,8.796961
2025-01-01,Brooklyn,1,SBS,B44+,Peak,1741,14497.449,8.3238535
2025-01-01,Brooklyn,2,SBS,B44+,Off-Peak,771,7310.7812,9.474274
2025-01-01,Brooklyn,2,SBS,B44+,Peak,358,3428.672,9.553132
2025-02-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,26,217.242,8.21771
2025-02-01,Brooklyn,1,SBS,B44+,Off-Peak,2567,22127.35,8.618538
2025-02-01,Brooklyn,1,SBS,B44+,Peak,1551,12803.173,8.254066
2025-02-01,Brooklyn,2,SBS,B44+,Off-Peak,821,7466.421,9.083581
2025-02-01,Brooklyn,2,SBS,B44+,Peak,361,3402.389,9.417516
2025-03-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,33,269.541,8.082459
2025-03-01,Brooklyn,1,SBS,B44+,Off-Peak,2917,24794.893,8.498243
2025-03-01,Brooklyn,1,SBS,B44+,Peak,1731,14323.025,8.271846
2025-03-01,Brooklyn,2,SBS,B44+,Off-Peak,970,8893.297,9.167877
2025-03-01,Brooklyn,2,SBS,B44+,Peak,410,3873.437,9.425918
2025-04-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,30,245.403,8.113241
2025-04-01,Brooklyn,1,SBS,B44+,Off-Peak,2998,26248.97,8.75521
2025-04-01,Brooklyn,1,SBS,B44+,Peak,1722,14569.698,8.456572
2025-04-01,Brooklyn,2,SBS,B44+,Off-Peak,542,5140.139,9.474285
2025-04-01,Brooklyn,2,SBS,B44+,Peak,248,2418.104,9.73425
2025-05-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,37,305.748,8.136104
2025-05-01,Brooklyn,1,SBS,B44+,Off-Peak,2847,24505.508,8.605958
2025-05-01,Brooklyn,1,SBS,B44+,Peak,1734,14222.174,8.200452
2025-05-01,Brooklyn,2,SBS,B44+,Off-Peak,887,7998.392,9.012081
2025-05-01,Brooklyn,2,SBS,B44+,Peak,384,3639.6401,9.4635105
2025-06-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,30,249.426,8.287267
2025-06-01,Brooklyn,1,SBS,B44+,Off-Peak,2926,25360.328,8.66683
2025-06-01,Brooklyn,1,SBS,B44+,Peak,1705,14358.861,8.416963
2025-06-01,Brooklyn,2,SBS,B44+,Off-Peak,813,7467.623,9.179538
2025-06-01,Brooklyn,2,SBS,B44+,Peak,366,3526.985,9.619815
2025-07-01,Brooklyn,1,SBS,B44+,Off-Peak,2909,26165.23,8.994363
2025-07-01,Brooklyn,1,SBS,B44+,Peak,1519,13247.66,8.720814
2025-07-01,Brooklyn,2,SBS,B44+,Off-Peak,833,8039.673,9.648997
2025-07-01,Brooklyn,2,SBS,B44+,Peak,360,3559.954,9.876591
2025-01-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,9044,71690.984,7.9266677
2025-01-01,Brooklyn,1,LCL/LTD,B6,Peak,4250,29792.578,7.009247
2025-01-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2208,17957.463,8.130337
2025-01-01,Brooklyn,2,LCL/LTD,B6,Peak,895,6949.538,7.7624207
2025-02-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,8050,63180.285,7.8476605
2025-02-01,Brooklyn,1,LCL/LTD,B6,Peak,3827,26473.428,6.9163647
2025-02-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2330,18521.855,7.9488516
2025-02-01,Brooklyn,2,LCL/LTD,B6,Peak,957,7396.183,7.720932
2025-03-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,9189,71335.59,7.763078
2025-03-01,Brooklyn,1,LCL/LTD,B6,Peak,4385,30238.523,6.8951554
2025-03-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2690,21509.588,7.9947076
2025-03-01,Brooklyn,2,LCL/LTD,B6,Peak,1059,8123.288,7.669702
2025-04-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,9329,72955.48,7.8194857
2025-04-01,Brooklyn,1,LCL/LTD,B6,Peak,4479,31485.719,7.0282874
2025-04-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,1648,13287.974,8.058747
2025-04-01,Brooklyn,2,LCL/LTD,B6,Peak,662,5230.038,7.8917994
2025-05-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,8921,68242.766,7.649233
2025-05-01,Brooklyn,1,LCL/LTD,B6,Peak,4330,29557.873,6.8259506
2025-05-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2471,19418.34,7.856004
2025-05-01,Brooklyn,2,LCL/LTD,B6,Peak,1042,7998.969,7.672132
2025-06-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,8676,67760.055,7.8094497
2025-06-01,Brooklyn,1,LCL/LTD,B6,Peak,4096,29060.652,7.0935717
2025-06-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2286,17962.27,7.8556166
2025-06-01,Brooklyn,2,LCL/LTD,B6,Peak,935,7169.181,7.6611915
2025-07-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,8051,65335.008,8.114889
2025-07-01,Brooklyn,1,LCL/LTD,B6,Peak,3850,28512.129,7.403917
2025-07-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2409,19672.352,8.165357
2025-07-01,Brooklyn,2,LCL/LTD,B6,Peak,955,7563.263,7.915551
